"sepal_l","sepal_w","petal_l","petal_w","species(p0)","species(p1)"
0.33333333333333326,-0.16666666666666674,0.4137931034482756,0.8333333333333333,0,1
-0.4999999999999999,0.7499999999999996,-0.8620689655172414,-1,-0.8660254037844386,-0.5
-0.00000000000000022204,-0.2500000000000002,0.2413793103448274,0.08333333333333326,0.8660254037844386,-0.5
-0.11111111111111094,0,0.2758620689655169,0.41666666666666674,0.8660254037844386,-0.5
0.27777777777777746,-0.2500000000000002,0.20689655172413768,0,0.8660254037844386,-0.5
-0.00000000000000022204,-0.16666666666666674,0.20689655172413768,0.08333333333333326,0.8660254037844386,-0.5
-0.6666666666666664,-0.08333333333333337,-0.8620689655172414,-1,-0.8660254037844386,-0.5
-0.9444444444444442,-0.16666666666666674,-0.9310344827586208,-0.9166666666666666,-0.8660254037844386,-0.5
-0.4999999999999999,0.16666666666666652,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.611111111111111,0.16666666666666652,-0.8275862068965517,-0.75,-0.8660254037844386,-0.5
-0.611111111111111,0.16666666666666652,-0.8620689655172414,-0.9166666666666666,-0.8660254037844386,-0.5
-0.16666666666666674,0.6666666666666665,-0.9655172413793104,-0.9166666666666666,-0.8660254037844386,-0.5
-0.2222222222222221,-0.5833333333333334,0.34482758620689635,0.5833333333333333,0,1
-0.00000000000000022204,-0.16666666666666674,0.31034482758620685,0.41666666666666674,0,1
-0.33333333333333337,0.8333333333333333,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.6666666666666664,-0.08333333333333337,-0.8620689655172414,-1,-0.8660254037844386,-0.5
0.8888888888888888,0.49999999999999956,0.9310344827586203,0.7500000000000002,0,1
-0.5555555555555558,0.4166666666666665,-0.8620689655172414,-0.75,-0.8660254037844386,-0.5
-0.277777777777778,-0.3333333333333336,0.31034482758620685,0.5833333333333333,0,1
-0.611111111111111,0,-0.9655172413793104,-0.9166666666666666,-0.8660254037844386,-0.5
-0.5555555555555558,0.24999999999999978,-0.896551724137931,-0.8333333333333334,-0.8660254037844386,-0.5
-0.6666666666666664,-0.16666666666666674,-0.896551724137931,-0.9166666666666666,-0.8660254037844386,-0.5
-0.05555555555555558,-0.8333333333333333,0.34482758620689635,0.16666666666666674,0,1
